#{"t_start": 1702278341.546579, "env_id": "ContactProcess"}
r,l,t
-38884.672562,25,43.621179
-59788.337345,38,43.659968
-52182.36623,35,43.698137
-95175.435261,57,43.810099
-35393.675272,23,43.83672
-117768.709786,74,43.903589
-162951.599188,104,44.000198
-93760.571727,58,44.115594
-186633.391118,119,44.226514
-53378.131447,33,44.259692
-28395.438554,17,44.279549
-50886.812479,31,44.314071
-263708.793517,168,44.517055
-146758.149622,91,44.60417
-53080.570498,34,44.697164
-203332.361006,130,44.813448
-38780.218046,25,44.840765
-127458.834027,82,44.918335
-76863.089241,50,45.024875
-69481.451828,44,45.068104
-95466.152686,65,45.128976
-68577.943403,45,45.173991
-10699.318951,6,45.182695
-26788.619385,19,45.20459
-70675.367219,43,45.300021
-114957.003927,75,45.371644
-87970.111595,58,45.425609
-239120.056583,153,45.618684
-83971.415679,52,45.671662
-37587.055569,24,45.694091
-108761.627772,69,45.753995
-43290.495257,27,45.781142
-78084.39024,49,45.829955
-85177.344512,53,45.927389
-86977.057369,56,45.978011
-60189.607911,39,46.014725
-162740.573034,103,46.103643
-221919.466425,145,46.291212
-125351.276195,79,46.366254
-65681.83103,42,46.466103
-39591.706259,24,46.489821
-123064.851413,77,46.5573
-65373.146493,42,46.597327
-275124.378341,172,46.796375
-105079.135451,65,46.853922
-139750.251145,86,46.928632
-110776.611951,70,47.057714
-45889.544028,28,47.088416
-66881.384496,42,47.13339
-134354.736956,88,47.214296
-72088.349775,44,47.25457
-102969.612363,66,47.371952
-46680.159394,32,47.404012
-174328.168914,116,47.510152
-122372.291661,74,47.63183
-31291.482965,20,47.654612
-245429.585275,156,47.801315
-183430.313144,118,47.961771
-46582.764496,29,47.988884
-49882.198916,33,48.02054
-208538.820469,136,48.136729
-83571.08062,52,48.238674
-465938.975637,299,48.565392
-175447.055744,111,48.666228
-87577.460445,57,48.7197
-105963.751889,67,48.841103
-28290.175977,19,48.863154
-62773.710062,42,48.907788
-95571.330063,59,48.963515
-100168.843621,63,49.025489
-159944.200154,100,49.163974
-31689.510296,21,49.185136
-58086.512992,39,49.224955
-34288.974745,22,49.246626
-102760.847246,64,49.305105
-57782.665323,36,49.392519
-76076.002454,48,49.437295
-57176.602256,39,49.474911
-53886.942625,33,49.5068
-58481.33323,37,49.54544
-38486.915174,26,49.5758
