#{"t_start": 1702320886.668968, "env_id": "ContactProcess"}
r,l,t
-83275.277946,51,72.041326
-159099.153414,102,72.188696
-127811.828363,84,72.267544
-75354.246259,47,72.311608
-115652.961246,74,72.434866
-59930.595702,37,72.472027
-106962.845463,70,72.537226
-48600.241487,32,72.565477
-48836.739694,30,72.596074
-30346.158401,20,72.616791
-41590.97448,28,72.645099
-26276.978147,18,72.724315
-53511.412955,33,72.756102
-81262.587589,54,72.812283
-106271.076119,68,72.874171
-131675.594217,85,73.007275
-177238.90486,111,73.104244
-27284.25919,17,73.12263
-31072.314453,20,73.1488
-100971.145803,63,73.208137
-158749.583584,102,73.356296
-16686.894866,11,73.369411
-38450.598902,24,73.394148
-68797.23853,43,73.437772
-12677.092161,9,73.448121
-25578.623902,16,73.468475
-144908.988105,88,73.542022
-18483.849384,12,73.610177
-262799.966439,165,73.755518
-337114.327853,215,73.987455
-148991.328552,94,74.068554
-183932.430697,119,74.228515
-97111.142776,62,74.281273
-39528.732705,25,74.307988
-215674.861624,139,74.482332
-18487.241028,12,74.497861
-58139.783737,36,74.535171
-48623.455883,32,74.568084
-144683.288348,93,74.656346
-47542.230134,30,74.744961
-126478.237827,82,74.822912
-61108.169777,38,74.858481
-58689.704592,39,74.894062
-16893.441394,11,74.907411
-85600.819812,54,74.957225
-82484.817253,52,75.063835
-94699.983038,59,75.121295
-71091.613367,47,75.167184
-279490.770171,177,75.386809
-15983.735575,10,75.398751
-15187.295801,10,75.411155
-121996.086777,76,75.476435
-77863.646755,51,75.527161
-30765.17437,20,75.550903
-22552.087975,14,75.567273
-25978.520877,16,75.585861
-63664.355169,41,75.686422
-63261.325627,41,75.730404
-104129.644246,66,75.791832
-34946.20769,22,75.813854
-47137.240324,31,75.845766
-58057.52749,37,75.884163
-27523.784534,17,75.901947
-28246.215068,19,75.97945
-137523.467613,87,76.061045
-196499.23898,122,76.175083
-54819.75523,34,76.212543
-89433.398188,57,76.362371
-96299.079194,61,76.424044
-54138.3963,37,76.463304
-102247.156425,66,76.52765
-86349.551469,54,76.638547
-122450.503395,79,76.71286
-78137.067513,48,76.7551
-133143.019275,86,76.834147
-70108.307007,44,76.92809
-69201.411724,45,76.972084
-40631.403868,26,77.001356
-150922.881951,98,77.098845
-59881.677622,38,77.137544
-75316.570578,48,77.243011
